,Product ID,Product Name,Category,Price
0,1,Product 1,Electronics,114.93
1,2,Product 2,Electronics,399.54
2,3,Product 3,Sports,381.53
3,4,Product 4,Clothing,367.71
4,5,Product 5,Electronics,329.22
5,6,Product 6,Clothing,241.77
6,7,Product 7,Home Goods,132.99
7,8,Product 8,Home Goods,369.95
8,9,Product 9,Clothing,10.02
9,10,Product 10,Home Goods,433.14
10,11,Product 11,Home Goods,254.45
11,12,Product 12,Home Goods,439.33
12,13,Product 13,Clothing,313.63
13,14,Product 14,Home Goods,125.72
14,15,Product 15,Electronics,464.28
15,16,Product 16,Home Goods,181.04
16,17,Product 17,Clothing,294.49
17,18,Product 18,Books,193.23
18,19,Product 19,Books,285.91
19,20,Product 20,Sports,145.62
20,21,Product 21,Home Goods,330.29
21,22,Product 22,Electronics,489.08
22,23,Product 23,Clothing,105.34
23,24,Product 24,Electronics,133.2
24,25,Product 25,Home Goods,42.59
25,26,Product 26,Home Goods,256.03
26,27,Product 27,Clothing,52.02
27,28,Product 28,Sports,204.54
28,29,Product 29,Sports,218.86
29,30,Product 30,Sports,292.08
30,31,Product 31,Home Goods,57.76
31,32,Product 32,Electronics,435.07
32,33,Product 33,Electronics,364.82
33,34,Product 34,Electronics,376.41
34,35,Product 35,Clothing,223.84
35,36,Product 36,Sports,105.0
36,37,Product 37,Home Goods,481.63
37,38,Product 38,Books,388.29
38,39,Product 39,Home Goods,295.02
39,40,Product 40,Clothing,261.72
40,41,Product 41,Sports,307.37
41,42,Product 42,Books,464.76
42,43,Product 43,Sports,88.16
43,44,Product 44,Electronics,198.54
44,45,Product 45,Home Goods,126.73
45,46,Product 46,Home Goods,389.8
46,47,Product 47,Clothing,468.8
47,48,Product 48,Books,96.24
48,49,Product 49,Electronics,331.85
49,50,Product 50,Home Goods,448.85
50,51,Product 51,Sports,350.63
51,52,Product 52,Electronics,496.3
52,53,Product 53,Sports,39.63
53,54,Product 54,Home Goods,289.04
54,55,Product 55,Electronics,432.93
55,56,Product 56,Books,49.09
56,57,Product 57,Sports,322.14
57,58,Product 58,Clothing,323.9
58,59,Product 59,Electronics,198.58
59,60,Product 60,Sports,224.88
60,61,Product 61,Clothing,417.06
61,62,Product 62,Sports,167.68
62,63,Product 63,Sports,391.03
63,64,Product 64,Clothing,463.64
64,65,Product 65,Home Goods,134.23
65,66,Product 66,Home Goods,266.58
66,67,Product 67,Books,471.54
67,68,Product 68,Sports,228.5
68,69,Product 69,Sports,67.93
69,70,Product 70,Clothing,203.01
70,71,Product 71,Books,171.7
71,72,Product 72,Books,152.1
72,73,Product 73,Books,279.01
73,74,Product 74,Home Goods,84.89
74,75,Product 75,Home Goods,327.89
75,76,Product 76,Clothing,432.89
76,77,Product 77,Clothing,437.41
77,78,Product 78,Sports,436.89
78,79,Product 79,Books,416.67
79,80,Product 80,Home Goods,162.75
80,81,Product 81,Books,364.89
81,82,Product 82,Electronics,491.63
82,83,Product 83,Sports,105.89
83,84,Product 84,Home Goods,388.77
84,85,Product 85,Clothing,70.04
85,86,Product 86,Electronics,166.34
86,87,Product 87,Clothing,54.43
87,88,Product 88,Sports,134.52
88,89,Product 89,Clothing,119.81
